survey,station,latitude,longitude,collection_type,date,time_pst,tidal_stage,depth_m,lab,taxon_original,units_per_ml,cells_per_ml,biovolume_cubic_um_per_ml,gald_um,quality_check,debris
SMSCG,STN_801,38.05561111,-121.847,grab_surface,2020-07-15,10:25:00,variable,0,BSA,cf. Thalassiosira sp.,146,146,7339.9,4,Good,NA
SMSCG,STN_801,38.05561111,-121.847,grab_surface,2020-07-15,10:25:00,variable,0,BSA,Aphanizomenon sp.,146,6571,437639.1,7.4,Good,NA
SMSCG,STN_801,38.05561111,-121.847,grab_surface,2020-07-15,10:25:00,variable,0,BSA,Chroococcus sp.,13434,16354.5,680831.9,5,Good,NA
SMSCG,STN_801,38.05561111,-121.847,grab_surface,2020-07-15,10:25:00,variable,0,BSA,Eucapsis microscopica,43660.6,87321.1,15717.8,0.8,Good,NA
SMSCG,STN_801,38.05561111,-121.847,grab_surface,2020-07-15,10:25:00,variable,0,BSA,Pseudanabaena sp.,1022.2,8469.3,85142.4,4.5,Good,NA
SMSCG,STN_610,38.11880556,-121.8891944,grab_surface,2020-07-16,06:10:00,variable,0,BSA,Bacillaria cf. paxillifera,74.8,74.8,178158.4,87,Good,NA
SMSCG,STN_610,38.11880556,-121.8891944,grab_surface,2020-07-16,06:10:00,variable,0,BSA,Cocconeis placentula,74.8,74.8,70940.6,20.4,Good,NA
SMSCG,STN_610,38.11880556,-121.8891944,grab_surface,2020-07-16,06:10:00,variable,0,BSA,cf. Cyclotella sp.,74.8,74.8,160904,16,Good,NA
SMSCG,STN_610,38.11880556,-121.8891944,grab_surface,2020-07-16,06:10:00,variable,0,BSA,Entomoneis paludosa,149.6,149.6,2207825.2,55.6,Good,NA
SMSCG,STN_610,38.11880556,-121.8891944,grab_surface,2020-07-16,06:10:00,variable,0,BSA,Navicula lanceolata,74.8,74.8,131165.1,34.3,Good,NA
SMSCG,STN_610,38.11880556,-121.8891944,grab_surface,2020-07-16,06:10:00,variable,0,BSA,Nitzschia clausii,74.8,74.8,42070.4,45,Good,NA
SMSCG,STN_610,38.11880556,-121.8891944,grab_surface,2020-07-16,06:10:00,variable,0,BSA,Cryptomonas marssonii,74.8,74.8,30022.3,14,Good,NA
SMSCG,STN_610,38.11880556,-121.8891944,grab_surface,2020-07-16,06:10:00,variable,0,BSA,Eucapsis microscopica,30141.1,60282.1,10850.8,0.8,Good,NA
SMSCG,STN_MONT,38.14387,-121.90889,grab_surface,2020-07-16,07:03:00,variable,0,BSA,Chaetoceros sp.,287.5,287.5,84968,12,Good,NA
SMSCG,STN_MONT,38.14387,-121.90889,grab_surface,2020-07-16,07:03:00,variable,0,BSA,Cocconeis placentula,143.7,143.7,69238.8,14.8,Good,NA
SMSCG,STN_MONT,38.14387,-121.90889,grab_surface,2020-07-16,07:03:00,variable,0,BSA,Nitzschia cf. acicularis,575,575,89464,83.3,Good,NA
SMSCG,STN_MONT,38.14387,-121.90889,grab_surface,2020-07-16,07:03:00,variable,0,BSA,Chroococcus sp.,287.5,287.5,16646.8,5.6,Good,NA
SMSCG,STN_MONT,38.14387,-121.90889,grab_surface,2020-07-16,07:03:00,variable,0,BSA,Eucapsis microscopica,56058.8,112117.5,20181.2,0.8,Good,NA
SMSCG,STN_MONT,38.14387,-121.90889,grab_surface,2020-07-16,07:03:00,variable,0,BSA,Pseudanabaena sp.,143.7,1437.4,14901.9,3.7,Good,NA
SMSCG,STN_MONT,38.14387,-121.90889,grab_surface,2020-07-16,07:03:00,variable,0,BSA,Trachelomonas volvocina,143.7,143.7,165351.1,13,Good,NA
SMSCG,STN_609,38.16719444,-121.938,grab_surface,2020-07-16,07:30:00,variable,0,BSA,Cyclotella meneghiniana,102.2,102.2,248520.2,16.7,Good,NA
SMSCG,STN_609,38.16719444,-121.938,grab_surface,2020-07-16,07:30:00,variable,0,BSA,cf. Cyclotella sp.,102.2,102.2,21980.6,7.4,Good,NA
SMSCG,STN_609,38.16719444,-121.938,grab_surface,2020-07-16,07:30:00,variable,0,BSA,Entomoneis paludosa,102.2,102.2,1305369.8,51.9,Good,NA
SMSCG,STN_609,38.16719444,-121.938,grab_surface,2020-07-16,07:30:00,variable,0,BSA,Navicula lanceolata,102.2,102.2,154695.8,29.6,Good,NA
SMSCG,STN_609,38.16719444,-121.938,grab_surface,2020-07-16,07:30:00,variable,0,BSA,cf. Thalassiosira sp.,102.2,102.2,4066.4,3.7,Good,NA
SMSCG,STN_609,38.16719444,-121.938,grab_surface,2020-07-16,07:30:00,variable,0,BSA,Eucapsis microscopica,43032.7,86065.4,15491.8,0.8,Good,NA
SMSCG,STN_606,38.16775731,-122.0220091,grab_surface,2020-07-16,08:43:00,variable,0,BSA,Cyclotella meneghiniana,80.7,80.7,33986.1,9.3,Good,NA
SMSCG,STN_606,38.16775731,-122.0220091,grab_surface,2020-07-16,08:43:00,variable,0,BSA,Gyrosigma sp.,80.7,80.7,173348.7,137,Good,NA
SMSCG,STN_606,38.16775731,-122.0220091,grab_surface,2020-07-16,08:43:00,variable,0,BSA,Navicula antonii,80.7,80.7,8442,11.1,Good,NA
SMSCG,STN_606,38.16775731,-122.0220091,grab_surface,2020-07-16,08:43:00,variable,0,BSA,cf. Thalassiosira sp.,80.7,80.7,3210.3,3.7,Good,NA
SMSCG,STN_606,38.16775731,-122.0220091,grab_surface,2020-07-16,08:43:00,variable,0,BSA,Chroococcus sp.,242.1,242.1,13160.3,5.6,Good,NA
SMSCG,STN_606,38.16775731,-122.0220091,grab_surface,2020-07-16,08:43:00,variable,0,BSA,Dolichospermum sp.,80.7,2501.6,79572,4.5,Good,NA
SMSCG,STN_606,38.16775731,-122.0220091,grab_surface,2020-07-16,08:43:00,variable,0,BSA,Eucapsis microscopica,31794.4,63588.7,11446,0.8,Good,NA
SMSCG,STN_606,38.16775731,-122.0220091,grab_surface,2020-07-16,08:43:00,variable,0,BSA,Pseudanabaena sp.,161.4,887.7,7808.3,2.8,Good,NA
SMSCG,STN_606,38.16775731,-122.0220091,grab_surface,2020-07-16,08:43:00,variable,0,BSA,Peridinium sp.,80.7,80.7,105681.9,14.8,Good,NA
SMSCG,FMWT_605,38.14853,-122.05738,grab_surface,2020-07-16,09:41:00,variable,0,BSA,Actinocyclus sp.,105.7,105.7,4130275.6,46.3,Good,NA
SMSCG,FMWT_605,38.14853,-122.05738,grab_surface,2020-07-16,09:41:00,variable,0,BSA,cf. Cyclotella sp.,105.7,105.7,75719.3,11.1,Good,NA
SMSCG,FMWT_605,38.14853,-122.05738,grab_surface,2020-07-16,09:41:00,variable,0,BSA,cf. Thalassiosira sp.,105.7,105.7,7567.7,4.5,Good,NA
SMSCG,FMWT_605,38.14853,-122.05738,grab_surface,2020-07-16,09:41:00,variable,0,BSA,Eucapsis microscopica,42401.8,84803.5,15264.6,0.8,Good,NA
SMSCG,FMWT_605,38.14853,-122.05738,grab_surface,2020-07-16,09:41:00,variable,0,BSA,Peridinium sp.,105.7,105.7,301096.3,19.5,Good,NA
SMSCG,STN_801,38.05561111,-121.847,grab_surface,2020-07-28,07:54:00,variable,0,BSA,Cocconeis placentula,85.2,85.2,48669.6,25,Good,NA
SMSCG,STN_801,38.05561111,-121.847,grab_surface,2020-07-28,07:54:00,variable,0,BSA,Cyclotella meneghiniana,85.2,85.2,23120.6,8,Good,NA
SMSCG,STN_801,38.05561111,-121.847,grab_surface,2020-07-28,07:54:00,variable,0,BSA,cf. Cyclotella sp.,511.1,511.1,98342.6,9.3,Good,NA
SMSCG,STN_801,38.05561111,-121.847,grab_surface,2020-07-28,07:54:00,variable,0,BSA,Navicula cf. oppugnata,85.2,85.2,82060.9,29.6,Good,NA
SMSCG,STN_801,38.05561111,-121.847,grab_surface,2020-07-28,07:54:00,variable,0,BSA,cf. Navicula sp.,85.2,85.2,15841.9,14.8,Good,NA
SMSCG,STN_801,38.05561111,-121.847,grab_surface,2020-07-28,07:54:00,variable,0,BSA,cf. Thalassiosira sp.,85.2,85.2,11748.7,5.6,Good,NA
SMSCG,STN_801,38.05561111,-121.847,grab_surface,2020-07-28,07:54:00,variable,0,BSA,cf. Aphanizomenon sp.,85.2,766.6,39497.6,5.6,Good,NA
SMSCG,STN_801,38.05561111,-121.847,grab_surface,2020-07-28,07:54:00,variable,0,BSA,Chroococcus sp.,4599.7,5281.1,176972.2,4,Good,NA
SMSCG,STN_801,38.05561111,-121.847,grab_surface,2020-07-28,07:54:00,variable,0,BSA,Eucapsis microscopica,29131.4,58262.8,10487.3,0.8,Good,NA
SMSCG,STN_801,38.05561111,-121.847,grab_surface,2020-07-28,07:54:00,variable,0,BSA,Komvophoron sp.,85.2,596.3,3746.4,2,Good,NA
SMSCG,STN_704,38.06776131,-121.7750077,grab_surface,2020-07-29,05:48:00,variable,0,BSA,Cocconeis placentula,242.1,242.1,94973,15,Good,NA
SMSCG,STN_704,38.06776131,-121.7750077,grab_surface,2020-07-29,05:48:00,variable,0,BSA,cf. Cyclotella sp.,484.2,484.2,219645.3,13,Good,NA
SMSCG,STN_704,38.06776131,-121.7750077,grab_surface,2020-07-29,05:48:00,variable,0,BSA,Melosira sp.,242.1,242.1,2661434.9,24.1,Good,NA
SMSCG,STN_704,38.06776131,-121.7750077,grab_surface,2020-07-29,05:48:00,variable,0,BSA,Nitzschia sociabilis,242.1,242.1,13557,28,Good,NA
SMSCG,STN_704,38.06776131,-121.7750077,grab_surface,2020-07-29,05:48:00,variable,0,BSA,Nitzschia sp.,242.1,242.1,7650,15.8,Good,NA
SMSCG,STN_704,38.06776131,-121.7750077,grab_surface,2020-07-29,05:48:00,variable,0,BSA,cf. Thalassiosira sp.,242.1,242.1,17326.2,4.5,Good,NA
